id,created_at,text - utf-8,simplified
1526822795396935681,2022-05-18 07:11:36+00:00,b'@CryptoNFTea_ @GameFi_Official @hc_capital @refinableapp @Master_BNB @play2earncrypto @gamefiarmy @PlayToEarnGames Mint now!!!',Official capital BNB Mint now
1526822793622343685,2022-05-18 07:11:35+00:00,b'@alt_ProfessorX With calamansi yan. Less lansa. :)',ProfessorX With calamansi yan Less lansa
1526822788647903232,2022-05-18 07:11:34+00:00,b'kapit tayo ha \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba https://t.co/gsEbx3zJep',kapit tayo ha
1526822774450585600,2022-05-18 07:11:31+00:00,b'Bagaag mga nawng maka demand inganag kwarta sa kasal jusko! Kaluoy sa ginikanan oy!',Bagaag mga nawng maka demand inganag kwarta sa kasal jusko Kaluoy sa ginikanan oy
1526822760147984385,2022-05-18 07:11:27+00:00,b'@jeonjaewonwoo Hahahahaah investement na ah. Ma mahal nana value nila sa ulihi.',Hahahahaah investement na ah Ma mahal nana value nila sa ulihi
1526822757299720192,2022-05-18 07:11:26+00:00,b'Dinadaan nalang sa amat ang nararamdaman',Dinadaan nalang sa amat ang nararamdaman
1526822756804796416,2022-05-18 07:11:26+00:00,"b'Ako lang ba, na sa daming iniisip hindi kana nakakaramdam ng gutom\xf0\x9f\x91\x8d'",Ako lang ba na sa daming iniisip hindi kana nakakaramdam ng gutom
1526822754686644224,2022-05-18 07:11:26+00:00,b'Dami ko work today pero parang mas marami ako nasendan ng memes',Dami ko work today pero parang mas marami ako nasendan ng memes
1526822747069743104,2022-05-18 07:11:24+00:00,b'It\xe2\x80\x99s been gloomy since we arrived. Hoping to see clear skies for sunset before we leave \xf0\x9f\xa5\xb2 https://t.co/zoqAsC9EaD',It s been gloomy since we arrived Hoping to see clear skies for sunset before we leave
1526822743651495937,2022-05-18 07:11:23+00:00,b'@raritygeek @SketchyGeek done https://t.co/rSRrUKjUwC',done
1526822743484006400,2022-05-18 07:11:23+00:00,b'My body needs a salty water \xf0\x9f\x92\xa6\xf0\x9f\x92\xa6 https://t.co/57YOr9Eq6E',My body needs a salty water
1526822737389719552,2022-05-18 07:11:22+00:00,b'Yahaya gyud nako uy \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\xaa https://t.co/yEJNe8I35n',Yahaya gyud nako uy
1526822722986049536,2022-05-18 07:11:18+00:00,b'ka ambisyosa kaayo! HAHAHAHA murag kwartaan jara wa sila ma ulaw?',ka ambisyosa kaayo HAHAHAHA murag kwartaan jara wa sila ma ulaw
1526822700550717440,2022-05-18 07:11:13+00:00,"b'this time, no more halfways &amp; in-betweens. no longer accepting unsure people in my life'",this time no more halfways amp in betweens no longer accepting unsure people in my life
1526822699862880256,2022-05-18 07:11:13+00:00,b'@arhiances sori ha sori\xf0\x9f\x91\x8d',sori ha sori
1526822680766189570,2022-05-18 07:11:08+00:00,b'my babies \xf0\x9f\x98\x8d https://t.co/8NOPDd1Tw2',my babies
1526822677519880192,2022-05-18 07:11:07+00:00,b'@marjo4u Klopt allemaal. Sommige trouwen ook wel. \xf0\x9f\x98\x82\xf0\x9f\x98\x82',Klopt allemaal Sommige trouwen ook wel
1526822670092075008,2022-05-18 07:11:06+00:00,b'g dali dali murag nay gdalian hahahaha ka mga hawd murag nay mga trabaho ka ulaw ana uy',g dali dali murag nay gdalian hahahaha ka mga hawd murag nay mga trabaho ka ulaw ana uy
1526822662789791744,2022-05-18 07:11:04+00:00,b'emback bitches. wala lang. hahahaha! meron na akong time magtwitter ngayon.',emback bitches wala lang hahahaha meron na akong time magtwitter ngayon
1526822638458662912,2022-05-18 07:10:58+00:00,b'papasok nanaman akong wet jusku',papasok nanaman akong wet jusku
1526822638382854144,2022-05-18 07:10:58+00:00,b'This day in 2020: Chubbypoi (with no haircut for months) era. https://t.co/taIBaWTF5L',This day in 2020 Chubbypoi with no haircut for months era
1526822632238088192,2022-05-18 07:10:57+00:00,b'cotton candyyy \xf0\x9f\x98\xad',cotton candyyy
1526822626034798593,2022-05-18 07:10:55+00:00,b'@8potatoooo Dont know how. Kindly google it. \xf0\x9f\x98\x81',Dont know how Kindly google it
1526822623178797056,2022-05-18 07:10:55+00:00,b'shudi demanding kaayo sa kasal murag nay mga dakong abot! Jusko! HAHAHAHA ga salig ras ginikanan! Unsa ba na pagka huna2?',shudi demanding kaayo sa kasal murag nay mga dakong abot Jusko HAHAHAHA ga salig ras ginikanan Unsa ba na pagka huna2
