id,created_at,text - utf-8,simplified
1.52683E+18,2022-05-18 07:29:12+00:00,b'@marortoll Sobrang kakapal! Bisaya-in kita dyan deputah ka!',Sobrang kakapal Bisaya in kita dyan deputah ka
1.52683E+18,2022-05-18 07:29:12+00:00,b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #LabanPilipinas \xf0\x9f\x87\xb5\xf0\x9f\x87\xad https://t.co/l4UCuyxV9c',LabanPilipinas
1.52683E+18,2022-05-18 07:29:05+00:00,b'Yung nasa bandang right nalilito ako kung si Momshoes ba yon or Eyon. Lol hahahahahahahahhahaahaha https://t.co/dfQyPjlHOC',Yung nasa bandang right nalilito ako kung si Momshoes ba yon or Eyon Lol hahahahahahahahhahaahaha
1.52683E+18,2022-05-18 07:29:05+00:00,b'Tsura sang wala naglagaw kag nagpa stress lang sa IBP bi \xf0\x9f\xa5\xb2\xf0\x9f\x98\x82 https://t.co/bhxW1urtUr',Tsura sang wala naglagaw kag nagpa stress lang sa IBP bi
1.52683E+18,2022-05-18 07:29:00+00:00,b'words of affirmation &amp; gifts \xf0\x9f\xa5\xb1',words of affirmation amp gifts
1.52683E+18,2022-05-18 07:28:53+00:00,b'Tiurok lang sa karon na shift huhu di na jud ko muusab ani na sched \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Tiurok lang sa karon na shift huhu di na jud ko muusab ani na sched
1.52683E+18,2022-05-18 07:28:50+00:00,"b'\xcb\x97\xcb\x8f\xcb\x8b  wts lfb ph help rt \xc2\xb4\xcb\x8e\xcb\x97\n\nhwarang official photobook + signed postcards\n\xe3\x80\xb0\xef\xb8\x8f new, still with original packaging\n\xe3\x80\xb0\xef\xb8\x8f 50% dp to secure, remaining balance thru shopee c/o once onhand in PH \n\n\xf0\x9f\x8f\xb7 bts v kim taehyung park seo joon park hyung sik  go ara shinee choi minho merch kdrama https://t.co/g6zTbCeG9X'",wts lfb ph help rt hwarang official photobook signed postcards new still with original packaging 50 dp to secure remaining balance thru shopee c o once onhand in PH bts v kim taehyung park seo joon park hyung sik go ara shinee choi minho merch kdrama
1.52683E+18,2022-05-18 07:28:45+00:00,b'@DOROTYfasolaTdo Or for orange XD',Or for orange XD
1.52683E+18,2022-05-18 07:28:37+00:00,b'@jypetwicerSHOP Mine Sana and Chaeyoung set Payo',Mine Sana and Chaeyoung set Payo
1.52683E+18,2022-05-18 07:28:36+00:00,b'la pa jod ko ka try mag route ug cafe heirmanna',la pa jod ko ka try mag route ug cafe heirmanna
1.52683E+18,2022-05-18 07:28:33+00:00,"b'@potanginadaddy Cute, malandi, likes chubby woman hahaha'",Cute malandi likes chubby woman hahaha
1.52683E+18,2022-05-18 07:28:28+00:00,b'@WBDAdSales announce the #ReleaseTheAyerCut \xf0\x9f\x98\x87 and the #RestoreTheSnyderVerse',announce the ReleaseTheAyerCut and the RestoreTheSnyderVerse
1.52683E+18,2022-05-18 07:28:25+00:00,b'@mykimrosales Hay salamat abi ko naunsa ka hehe ingat moy',Hay salamat abi ko naunsa ka hehe ingat moy
1.52683E+18,2022-05-18 07:28:24+00:00,b'unsa daw akoang love language hahahahahahahahahahahahahahahaahahahahahahahahahahahahahahahaha?',unsa daw akoang love language hahahahahahahahahahahahahahahaahahahahahahahahahahahahahahahaha
1.52683E+18,2022-05-18 07:28:22+00:00,b'Awit talaga ayy',Awit talaga ayy
1.52683E+18,2022-05-18 07:28:18+00:00,b'@notetoself47 Karma will soon come collecting!',Karma will soon come collecting
1.52683E+18,2022-05-18 07:28:17+00:00,b'Na block tayes kasi bobo sya. Hahaha mahinang nilalang. Tangina akala mo matapang si pota',Na block tayes kasi bobo sya Hahaha mahinang nilalang Tangina akala mo matapang si pota
1.52683E+18,2022-05-18 07:28:15+00:00,"b'An active dumpsite in Tondo, Manila, is home to hundreds of families whose main source of income and food is from scavenging through garbage\n\nFrom May 17 - May 31, Taco-Mata will donate a portion of our proceeds to @ProjectPEARLS\n\nJoin us \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb5\xf0\x9f\x87\xad https://t.co/UbamyRwa1R'",An active dumpsite in Tondo Manila is home to hundreds of families whose main source of income and food is from scavenging through garbage From May 17 May 31 Taco Mata will donate a portion of our proceeds to Join us
1.52683E+18,2022-05-18 07:28:14+00:00,b'Yun clingy ka and mahilig sa cuddle pero may malalang trust and abandonment issues hahahuhu',Yun clingy ka and mahilig sa cuddle pero may malalang trust and abandonment issues hahahuhu
1.52683E+18,2022-05-18 07:28:14+00:00,b'@sireTRV urghh \xf0\x9f\x92\xa6',urghh
1.52683E+18,2022-05-18 07:28:11+00:00,b'@santiobcena As an aspiring mother Anez??? Haha',As an aspiring mother Anez Haha
1.52683E+18,2022-05-18 07:28:11+00:00,b'Potang ina bat kinakantahan moko',Potang ina bat kinakantahan moko
1.52683E+18,2022-05-18 07:28:11+00:00,b'@ariesjin_ Ahh sgey\xc2\xb2 po',Ahh sgey po
1.52683E+18,2022-05-18 07:28:07+00:00,b'@illian___ hahaha after exercise yan',hahaha after exercise yan
1.52683E+18,2022-05-18 07:28:07+00:00,b'Pc nalang kulang \xf0\x9f\x99\x8a\xf0\x9f\x99\x88 https://t.co/BZnJKC2Keh',Pc nalang kulang
1.52683E+18,2022-05-18 07:28:04+00:00,b'@miggymiggydoo Ewan ko sayo talagaaaaa \xf0\x9f\x99\x84',Ewan ko sayo talagaaaaa
1.52683E+18,2022-05-18 07:28:03+00:00,b'@raissawriter Bitter ka pa rin????  6 years ka nanaman. Aalulong sa media. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',Bitter ka pa rin 6 years ka nanaman Aalulong sa media
1.52683E+18,2022-05-18 07:28:01+00:00,b'@jowanabasino Yayy grats!!',Yayy grats
1.52683E+18,2022-05-18 07:28:00+00:00,b'only acads can drain like this.',only acads can drain like this
1.52683E+18,2022-05-18 07:27:55+00:00,b'Taena mukhang lalagnatin pako nyetaaa',Taena mukhang lalagnatin pako nyetaaa
1.52683E+18,2022-05-18 07:27:54+00:00,b'@itskevmosby Nagkalat sila! https://t.co/Ec5PY4zduy',Nagkalat sila
1.52683E+18,2022-05-18 07:27:51+00:00,b'Gusto ko ng empanada.',Gusto ko ng empanada
1.52683E+18,2022-05-18 07:27:50+00:00,b'@kishalaid_ manok \xf0\x9f\x98\x82',manok
1.52683E+18,2022-05-18 07:27:47+00:00,b'@WEi_Philippines Sending fanchant guide for Too Bad \xf0\x9f\xab\xb6 https://t.co/XDbWijRfe7',Philippines Sending fanchant guide for Too Bad
1.52683E+18,2022-05-18 07:27:45+00:00,b'@igorota2180 @MarronMelai Don\xe2\x80\x99t forget the SOLID SOUTH and OFW SOLID!!! https://t.co/edX4d0jCIP',Don t forget the SOLID SOUTH and OFW SOLID
1.52683E+18,2022-05-18 07:27:44+00:00,b'Ngaa super stressful ang wednesday nga ni',Ngaa super stressful ang wednesday nga ni
1.52683E+18,2022-05-18 07:27:42+00:00,b'yung mga kasama ko sa condo kanya kanya ng ka videocall tas ako tamang utot lang sa salas \xf0\x9f\xa4\xa3 naols may nangangamusta \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',yung mga kasama ko sa condo kanya kanya ng ka videocall tas ako tamang utot lang sa salas naols may nangangamusta
1.52683E+18,2022-05-18 07:27:39+00:00,b'A cup of coffee in this rainy day = \xf0\x9f\x98\x9a\xf0\x9f\xa4\x8c https://t.co/umiie1oNTF',A cup of coffee in this rainy day
1.52683E+18,2022-05-18 07:27:37+00:00,b'leg day na naman shuta \xf0\x9f\xa5\xb5\xf0\x9f\xa5\xb5',leg day na naman shuta
1.52683E+18,2022-05-18 07:27:35+00:00,b'Sakitas akong likod oy nag check raman ta kos summative\xf0\x9f\xa5\xb4',Sakitas akong likod oy nag check raman ta kos summative
1.52683E+18,2022-05-18 07:27:34+00:00,b'GRABE TALGA BLAKCLIST E MAGPAPABUGBOG TALAGA SA UNA PERO KAYANG KAYA BUMAWIII #BreakTheCode #BlacklistSIBOL #BLCKforGOLD #PINASLANGMALAKAS #PILIPINASLANGMALAKAS #MLBB #SEAGames2021',GRABE TALGA BLAKCLIST E MAGPAPABUGBOG TALAGA SA UNA PERO KAYANG KAYA BUMAWIII BreakTheCode BlacklistSIBOL BLCKforGOLD PINASLANGMALAKAS PILIPINASLANGMALAKAS MLBB SEAGames2021
1.52683E+18,2022-05-18 07:27:32+00:00,b'@stephenstory35 i lift light weights to warm up',i lift light weights to warm up
1.52683E+18,2022-05-18 07:27:22+00:00,b'@imrodzz @kimmsoliman @Ekangaga @Eyzz000 Oo go sa balay sa sabado',Oo go sa balay sa sabado
1.52683E+18,2022-05-18 07:27:21+00:00,b'Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul.',Sometimes you have to make a decision that will definitely hurt your heart but will heal your soul
